iter	MultiClass
0	1.653113336
1	1.51479797
2	1.414403483
3	1.340613721
4	1.290446747
5	1.24330702
6	1.214069584
7	1.188907918
8	1.170236625
9	1.153322467
10	1.140301828
11	1.130142789
12	1.119782169
13	1.113769948
14	1.106394625
15	1.097056151
16	1.090417584
17	1.086610998
18	1.082197789
19	1.076957678
20	1.074478525
21	1.071222166
22	1.067005732
23	1.062520439
24	1.05950481
25	1.057616577
26	1.055426299
27	1.052557033
28	1.047991554
29	1.044660759
30	1.043013172
31	1.041155236
32	1.038844158
33	1.036962042
34	1.033101745
35	1.030491721
36	1.02934914
37	1.025483583
38	1.024366499
39	1.021459259
40	1.02091136
41	1.018779109
42	1.016446386
43	1.015258373
44	1.013408938
45	1.011866555
46	1.009228291
47	1.007487368
48	1.005935473
49	1.004217846
50	1.002597432
51	1.000945097
52	0.9992058059
53	0.9973753419
54	0.9965922794
55	0.9950786559
56	0.9939098439
57	0.9892938134
58	0.9877812806
59	0.984916171
60	0.9831364854
61	0.9825667118
62	0.981073245
63	0.979454431
64	0.9785833303
65	0.9767188891
66	0.9757676165
67	0.9748767889
68	0.9736111246
69	0.9720655536
70	0.9690627335
71	0.9678722443
72	0.966233929
73	0.9641834027
74	0.9629128257
75	0.9624917406
76	0.9611844091
77	0.9596144127
78	0.9591321351
79	0.958234764
80	0.957645998
81	0.9541322738
82	0.95334244
83	0.9520650784
84	0.9503389041
85	0.9487667057
86	0.9473857433
87	0.9467250609
88	0.945532828
89	0.9426925432
90	0.9421474889
91	0.941151003
92	0.9403870072
93	0.9394442357
94	0.9376149544
95	0.9362607604
96	0.9352290262
97	0.933354899
98	0.9325375856
99	0.9317941965
100	0.9303257175
101	0.929704527
102	0.9286030368
103	0.9272682048
104	0.9264542737
105	0.9260408724
106	0.9248766094
107	0.9233566362
108	0.9219853676
109	0.9210204322
110	0.9206790794
111	0.9197834248
112	0.9191696021
113	0.9184139851
114	0.9180129075
115	0.9173256367
116	0.9157571304
117	0.9145788246
118	0.9138651025
119	0.9126127205
120	0.9102661265
121	0.90955165
122	0.9091534324
123	0.9071910354
124	0.906683794
125	0.9057693836
126	0.9052450086
127	0.9044671858
128	0.9039302254
129	0.9026300706
130	0.901154608
131	0.9002669266
132	0.8995630238
133	0.8987137399
134	0.8982854673
135	0.8973649566
136	0.8971698701
137	0.8965654527
138	0.8945354494
139	0.8940004771
140	0.8932748492
141	0.8927325619
142	0.8917423563
143	0.891278442
144	0.8907787721
145	0.889269448
146	0.8882618389
147	0.8869809602
148	0.8863948982
149	0.8857848588
150	0.8849857427
151	0.8837613467
152	0.8834567109
153	0.8829020604
154	0.8811635452
155	0.8808590931
156	0.880396412
157	0.8791665014
158	0.8780031612
159	0.877405181
160	0.8762455816
161	0.8759403788
162	0.8749436215
163	0.873940961
164	0.8730342201
165	0.8718743905
166	0.8713728764
167	0.8700442333
168	0.8692845707
169	0.8686297598
170	0.8676408633
171	0.8669663572
172	0.8662955393
173	0.8655092012
174	0.8645404106
175	0.8635597759
176	0.8627106031
177	0.8618469016
178	0.8605353869
179	0.8595982345
180	0.8590631684
181	0.8579383095
182	0.8569146279
183	0.8558425362
184	0.8546513794
185	0.8523022067
186	0.8511992302
187	0.8508039417
188	0.8501311316
189	0.8485581299
190	0.8474920219
191	0.8471271367
192	0.8460743035
193	0.8451120161
194	0.8438002615
195	0.8431342907
196	0.8421796224
197	0.8416891731
198	0.8412036174
199	0.8398562144
200	0.838888856
201	0.8380661431
202	0.8374726804
203	0.8366155915
204	0.8361417843
205	0.8360363175
206	0.8357844033
207	0.8349428676
208	0.8344955153
209	0.833738433
210	0.8332046599
211	0.8322656706
212	0.8308255896
213	0.8298353386
214	0.8287933839
215	0.8278249955
216	0.8270507719
217	0.8262006538
218	0.8246568297
219	0.8245470725
220	0.8239315611
221	0.8232693787
222	0.822481587
223	0.8219470309
224	0.8212441452
225	0.8204514302
226	0.820165578
227	0.8199437423
228	0.8195675942
229	0.8189906327
230	0.8183301658
231	0.8175614139
232	0.8168317221
233	0.8157840754
234	0.8152660092
235	0.8147190301
236	0.8139155445
237	0.8134037684
238	0.8128668991
239	0.812020921
240	0.811345566
241	0.8107450654
242	0.8098167163
243	0.8094076484
244	0.808717134
245	0.8077068071
246	0.8072106814
247	0.8065697
248	0.8060341711
249	0.8053884711
250	0.8043160802
251	0.8033590377
252	0.8028314767
253	0.8024301078
254	0.8019029383
255	0.8011738109
256	0.8007486047
257	0.80049756
258	0.7994274876
259	0.7984820961
260	0.798280754
261	0.7975607066
262	0.7959963835
263	0.7953327371
264	0.7943362471
265	0.7941936539
266	0.7935693522
267	0.7932557236
268	0.7930132294
269	0.7925890467
270	0.792095838
271	0.7915306677
272	0.7903587819
273	0.7894144066
274	0.7886342125
275	0.788086366
276	0.7876886372
277	0.7873574082
278	0.786124959
279	0.7855756883
280	0.7850035602
281	0.7842919932
282	0.7835933861
283	0.783118485
284	0.7826830923
285	0.7818651824
286	0.7816076054
287	0.7812929474
288	0.780756979
289	0.780500177
290	0.7801593062
291	0.7797986437
292	0.7791944756
293	0.7786225396
294	0.7781075925
295	0.7778886545
296	0.7775574645
297	0.7772280923
298	0.7761728008
299	0.7759551451
300	0.7757185812
301	0.7747768856
302	0.7739996343
303	0.7731064753
304	0.7720679129
305	0.7713375841
306	0.7708452164
307	0.7702877732
308	0.7697121188
309	0.7691064417
310	0.7687230053
311	0.7677007844
312	0.7668031021
313	0.7664088895
314	0.7661748033
315	0.7651226408
316	0.7646700488
317	0.7639193861
318	0.7637240648
319	0.762651597
320	0.7624231287
321	0.7617808692
322	0.7609735691
323	0.760414654
324	0.7600316698
325	0.7595798259
326	0.7583395159
327	0.7580808035
328	0.7575312371
329	0.7567557484
330	0.7564601255
331	0.756328614
332	0.7559317842
333	0.7556226786
334	0.7550318694
335	0.7546450267
336	0.7542974407
337	0.7540531728
338	0.7534402317
339	0.7523817369
340	0.7518115041
341	0.7511946609
342	0.7507107514
343	0.7498228794
344	0.7489629588
345	0.7481538796
346	0.7480232664
347	0.7477325563
348	0.7475292974
349	0.7469005803
350	0.746320189
351	0.7461244638
352	0.7457918638
353	0.7452131128
354	0.7442916717
355	0.7436155607
356	0.7429512618
357	0.7419846182
358	0.7418479199
359	0.7406986421
360	0.7400992524
361	0.7393270701
362	0.738992944
363	0.7386024082
364	0.7382666863
365	0.7379232389
366	0.7375304352
367	0.7367706296
368	0.7357704302
369	0.7354424232
370	0.7349286695
371	0.7345072921
372	0.7338312023
373	0.7331196436
374	0.7324852564
375	0.7317153627
376	0.7310897911
377	0.7301268038
378	0.7295098049
379	0.7291680614
380	0.7280969339
381	0.7274189649
382	0.7269989301
383	0.7266361245
384	0.7263617363
385	0.7259086907
386	0.7257842031
387	0.7252069257
388	0.7242922971
389	0.7240993941
390	0.7236399144
391	0.7232089124
392	0.7226203874
393	0.7220484986
394	0.7217573617
395	0.7214101171
396	0.7209384593
397	0.7203965331
398	0.7200371883
399	0.7196917018
400	0.7195349816
401	0.7189262176
402	0.7176713977
403	0.7172752794
404	0.7170854156
405	0.716690011
406	0.7164200832
407	0.715910876
408	0.7154759552
409	0.7142688016
410	0.7137102371
411	0.7132355454
412	0.7129503324
413	0.7123159724
414	0.7120435588
415	0.7116917403
416	0.7110977716
417	0.7106336413
418	0.7103103009
419	0.7100916092
420	0.7092427478
421	0.7086050586
422	0.7080488744
423	0.7074527658
424	0.7067888415
425	0.7061623871
426	0.7057539254
427	0.7052306076
428	0.7047814009
429	0.7043656599
430	0.7035198676
431	0.7031321883
432	0.7016691303
433	0.7013634936
434	0.7009630489
435	0.7002586402
436	0.6999928026
437	0.6997193155
438	0.6990352092
439	0.6987756867
440	0.6984538447
441	0.6979029101
442	0.6977748328
443	0.6973952417
444	0.6967765278
445	0.6964116834
446	0.6957306563
447	0.6950338113
448	0.6942370753
449	0.6937774544
450	0.6934179851
451	0.6929112487
452	0.6925779252
453	0.6919717676
454	0.6916302433
455	0.6913184906
456	0.691073055
457	0.6906175638
458	0.6898428925
459	0.6893377163
460	0.6889100068
461	0.6884818806
462	0.6881335467
463	0.6878195888
464	0.6875535131
465	0.6873415612
466	0.6867740609
467	0.6860885294
468	0.6854318234
469	0.6844828677
470	0.6841693311
471	0.6837022662
472	0.6831426743
473	0.68263652
474	0.6821651384
475	0.6819017468
476	0.6816599502
477	0.6809615772
478	0.6803744635
479	0.6800356568
480	0.6790815162
481	0.678474479
482	0.6782350066
483	0.6778410045
484	0.6770649987
485	0.6760292641
486	0.675713569
487	0.6750836456
488	0.6745883419
489	0.6743143776
490	0.6737466426
491	0.6734722774
492	0.6732204955
493	0.6727020896
494	0.6719894747
495	0.6712250736
496	0.6711135386
497	0.6705365347
498	0.6702201735
499	0.6699054678
500	0.6697755729
501	0.6691851996
502	0.6685289726
503	0.6679285813
504	0.6675526944
505	0.6673351042
506	0.6670099208
507	0.6658453479
508	0.6656845556
509	0.6654058307
510	0.6651529771
511	0.6647251957
512	0.6642619919
513	0.6640292806
514	0.6634607577
515	0.6628773593
516	0.6623083496
517	0.6619492757
518	0.6610603619
519	0.6607001996
520	0.660085913
521	0.659834161
522	0.6595304659
523	0.6592440197
524	0.6587732597
525	0.6584549716
526	0.6577685189
527	0.6576351087
528	0.6571734099
529	0.6566190558
530	0.6559767297
531	0.6555379861
532	0.6548510077
533	0.6544113871
534	0.6542464476
535	0.6540566812
536	0.6534662461
537	0.6532046093
538	0.6531112635
539	0.65285143
540	0.6524599938
541	0.6517875478
542	0.6516373394
543	0.65096275
544	0.6502207942
545	0.6501086324
546	0.6496328992
547	0.6490912893
548	0.6481590677
549	0.647753526
550	0.6476503423
551	0.6474589648
552	0.6466813907
553	0.646063009
554	0.645798967
555	0.645654456
556	0.6451811929
557	0.6449687009
558	0.6445068217
559	0.6442367653
560	0.6436796498
561	0.6430735453
562	0.6429084549
563	0.6425552211
564	0.6419097962
565	0.6415043416
566	0.6411222472
567	0.6406030113
568	0.6404175505
569	0.6399511787
570	0.6394376286
571	0.6391448828
572	0.6387574965
573	0.6379211655
574	0.6376779637
575	0.6374346203
576	0.6368102961
577	0.6365623891
578	0.635795387
579	0.6354141107
580	0.6349223348
581	0.6347622895
582	0.6341733575
583	0.6338206285
584	0.6334149203
585	0.6330921784
586	0.6329240871
587	0.6327007829
588	0.6323574377
589	0.6318952324
590	0.6312015583
591	0.6308867879
592	0.6306305498
593	0.6305028247
594	0.6301213114
595	0.6299166563
596	0.6296747426
597	0.6288220544
598	0.6286641591
599	0.628128325
600	0.6276579641
601	0.6275582535
602	0.6271087194
603	0.6264087591
604	0.6258121532
605	0.6254863533
606	0.6250188399
