iter	Passed	Remaining
0	37	37823
1	75	37871
2	100	33261
3	125	31282
4	155	31023
5	177	29486
6	198	28180
7	218	27043
8	238	26283
9	265	26293
10	287	25843
11	308	25401
12	330	25130
13	354	24971
14	374	24621
15	401	24686
16	431	24932
17	453	24721
18	475	24557
19	493	24188
20	511	23854
21	533	23720
22	553	23493
23	574	23376
24	595	23225
25	614	23023
26	634	22862
27	652	22661
28	671	22491
29	690	22320
30	713	22308
31	738	22332
32	757	22188
33	778	22120
34	802	22117
35	828	22183
36	852	22186
37	876	22200
38	898	22136
39	922	22132
40	942	22043
41	963	21966
42	983	21893
43	1007	21897
44	1033	21931
45	1058	21943
46	1092	22155
47	1118	22192
48	1143	22200
49	1170	22235
50	1194	22219
51	1219	22235
52	1245	22259
53	1270	22262
54	1294	22233
55	1311	22116
56	1331	22022
57	1350	21936
58	1370	21862
59	1393	21828
60	1415	21794
61	1442	21820
62	1466	21811
63	1497	21897
64	1525	21942
65	1549	21929
66	1570	21863
67	1591	21810
68	1612	21762
69	1635	21730
70	1658	21702
71	1682	21688
72	1706	21672
73	1734	21705
74	1761	21725
75	1785	21706
76	1804	21629
77	1825	21582
78	1847	21534
79	1869	21495
80	1890	21445
81	1912	21414
82	1936	21396
83	1957	21346
84	1977	21283
85	1998	21243
86	2023	21232
87	2047	21221
88	2068	21167
89	2088	21118
90	2109	21068
91	2129	21013
92	2165	21122
93	2189	21103
94	2209	21051
95	2233	21029
96	2259	21030
97	2283	21019
98	2307	20997
99	2330	20971
100	2350	20919
101	2372	20884
102	2394	20849
103	2416	20816
104	2439	20796
105	2459	20743
106	2478	20685
107	2497	20627
108	2517	20578
109	2539	20545
110	2560	20505
111	2584	20490
112	2611	20497
113	2638	20506
114	2663	20493
115	2684	20460
116	2706	20429
117	2732	20423
118	2757	20413
119	2777	20365
120	2799	20340
121	2821	20302
122	2841	20262
123	2865	20246
124	2889	20227
125	2913	20212
126	2938	20201
127	2965	20202
128	2987	20171
129	3015	20179
130	3042	20184
131	3064	20151
132	3084	20108
133	3109	20092
134	3132	20072
135	3154	20038
136	3178	20019
137	3200	19989
138	3220	19950
139	3241	19909
140	3266	19898
141	3288	19870
142	3308	19830
143	3331	19806
144	3354	19777
145	3379	19765
146	3403	19751
147	3430	19749
148	3455	19735
149	3477	19704
150	3496	19659
151	3521	19647
152	3546	19632
153	3574	19636
154	3600	19630
155	3625	19615
156	3645	19574
157	3683	19629
158	3707	19610
159	3730	19584
160	3753	19557
161	3797	19643
162	3847	19757
163	3869	19723
164	3889	19685
165	3911	19653
166	3931	19611
167	3952	19572
168	3974	19541
169	3995	19507
170	4020	19490
171	4048	19488
172	4075	19483
173	4102	19473
174	4128	19463
175	4153	19444
176	4176	19421
177	4199	19391
178	4221	19362
179	4242	19325
180	4265	19298
181	4289	19277
182	4311	19248
183	4334	19221
184	4357	19194
185	4380	19169
186	4403	19144
187	4429	19129
188	4451	19102
189	4475	19077
190	4498	19052
191	4520	19024
192	4542	18995
193	4563	18959
194	4592	18959
195	4618	18947
196	4647	18942
197	4695	19019
198	4726	19023
199	4756	19025
200	4785	19021
201	4808	18994
202	4832	18972
203	4856	18950
204	4883	18938
205	4908	18921
206	4935	18905
207	4957	18875
208	4982	18858
209	5006	18834
210	5033	18820
211	5052	18781
212	5081	18776
213	5102	18742
214	5122	18701
215	5141	18661
216	5160	18621
217	5181	18586
218	5203	18556
219	5225	18525
220	5245	18490
221	5266	18454
222	5289	18429
223	5312	18402
224	5334	18372
225	5356	18343
226	5377	18312
227	5399	18282
228	5420	18251
229	5442	18219
230	5463	18187
231	5487	18164
232	5513	18149
233	5533	18114
234	5554	18080
235	5575	18050
236	5597	18020
237	5622	18002
238	5648	17986
239	5671	17960
240	5695	17938
241	5718	17911
242	5739	17880
243	5761	17850
244	5782	17820
245	5806	17795
246	5846	17823
247	5873	17809
248	5900	17795
249	5926	17779
250	5953	17765
251	5978	17747
252	6005	17732
253	6033	17721
254	6055	17691
255	6078	17665
256	6104	17648
257	6123	17611
258	6144	17580
259	6165	17549
260	6186	17516
261	6220	17520
262	6241	17490
263	6262	17458
264	6282	17425
265	6304	17395
266	6326	17368
267	6346	17334
268	6366	17300
269	6386	17268
270	6409	17242
271	6432	17215
272	6455	17190
273	6474	17154
274	6497	17130
275	6521	17106
276	6543	17078
277	6566	17054
278	6587	17023
279	6608	16993
280	6629	16963
281	6650	16932
282	6663	16881
283	6683	16850
284	6707	16826
285	6730	16802
286	6753	16776
287	6774	16746
288	6796	16721
289	6822	16704
290	6843	16674
291	6864	16644
292	6885	16614
293	6907	16588
294	6929	16560
295	6952	16535
296	6972	16504
297	6994	16477
298	7017	16451
299	7042	16433
300	7064	16406
301	7086	16378
302	7110	16356
303	7136	16339
304	7157	16309
305	7177	16279
306	7200	16254
307	7221	16224
308	7241	16193
309	7262	16165
310	7284	16138
311	7312	16124
312	7335	16099
313	7356	16070
314	7375	16039
315	7397	16011
316	7417	15982
317	7440	15957
318	7476	15961
319	7509	15958
320	7539	15947
321	7562	15922
322	7583	15894
323	7604	15866
324	7626	15840
325	7647	15811
326	7671	15789
327	7695	15766
328	7722	15749
329	7745	15726
330	7775	15715
331	7803	15700
332	7827	15678
333	7849	15651
334	7874	15631
335	7898	15609
336	7928	15599
337	7957	15585
338	7983	15567
339	8023	15574
340	8050	15557
341	8071	15529
342	8093	15503
343	8117	15479
344	8147	15469
345	8175	15453
346	8201	15434
