iter	RMSE
0	6.460780321
1	6.35515939
2	6.257930899
3	6.162801591
4	6.080840421
5	5.998805654
6	5.922011101
7	5.850576402
8	5.784830809
9	5.723196993
10	5.670235239
11	5.615567919
12	5.562892085
13	5.513194349
14	5.47249989
15	5.43395349
16	5.397700773
17	5.36219698
18	5.329299061
19	5.2955017
20	5.267458248
21	5.243860846
22	5.216729121
23	5.190714307
24	5.167833376
25	5.14678232
26	5.129351426
27	5.10990506
28	5.094744027
29	5.080162138
30	5.066446954
31	5.051149046
32	5.03756268
33	5.025108303
34	5.009554816
35	5.00158075
36	4.99014898
37	4.980491021
38	4.973241261
39	4.965867662
40	4.956622657
41	4.947302245
42	4.937408487
43	4.93235459
44	4.926694877
45	4.91916668
46	4.911177699
47	4.900782225
48	4.893025486
49	4.884945618
50	4.878582916
51	4.87261221
52	4.86702336
53	4.860819662
54	4.854132102
55	4.846626439
56	4.84074798
57	4.836205514
58	4.830892056
59	4.826142015
60	4.821242838
61	4.818519206
62	4.815237992
63	4.811278567
64	4.808462263
65	4.803409119
66	4.800285816
67	4.797721286
68	4.795362846
69	4.793506292
70	4.788238678
71	4.784973858
72	4.782196651
73	4.778780016
74	4.773400413
75	4.772337012
76	4.769468005
77	4.766726386
78	4.763773431
79	4.759958902
80	4.757036272
81	4.755785043
82	4.751068024
83	4.747723185
84	4.743564744
85	4.738883036
86	4.734577756
87	4.733105244
88	4.731197835
89	4.726592095
90	4.725208045
91	4.721812641
92	4.719627734
93	4.717114431
94	4.713885224
95	4.711247571
96	4.709189626
97	4.707140299
98	4.705053201
99	4.703589909
100	4.700120472
101	4.695998854
102	4.692276051
103	4.690481034
104	4.688886903
105	4.68492015
106	4.681660796
107	4.679321432
108	4.676514015
109	4.674405821
110	4.672940178
111	4.669215026
112	4.667195904
113	4.665630192
114	4.664992102
115	4.661476643
116	4.659912495
117	4.655286755
118	4.651018547
119	4.647606473
120	4.645353429
121	4.642941453
122	4.640711757
123	4.638205503
124	4.635131927
125	4.632780442
126	4.626278111
127	4.622377863
128	4.618888413
129	4.615837684
130	4.612803795
131	4.610598773
132	4.609128739
133	4.607113983
134	4.605125109
135	4.604652221
136	4.603857387
137	4.603123682
138	4.601159547
139	4.599757527
140	4.5964036
141	4.594446163
142	4.592689925
143	4.591576313
144	4.591408291
145	4.590497815
146	4.588926414
147	4.588588651
148	4.586449475
149	4.585717152
150	4.583944388
151	4.583712209
152	4.582897158
153	4.580999368
154	4.577353612
155	4.575121109
156	4.572335076
157	4.57032488
158	4.569209475
159	4.565700583
160	4.565488329
161	4.565082578
162	4.56441594
163	4.563888865
164	4.562601846
165	4.56249186
166	4.554814058
167	4.554025965
168	4.553628636
169	4.553301269
170	4.548938596
171	4.548608292
172	4.548291083
173	4.5460205
174	4.544288631
175	4.541407884
176	4.539971864
177	4.539536897
178	4.53915436
179	4.53712819
180	4.534202872
181	4.533838377
182	4.533493983
